Price,Size,Address,Price Per Square Meter,Price Per Square Meter Integer,Latitude,Longitude
€ 544.375,125 m²,"Quadrilocale via Barnaba Oriani 58/60, Certosa, Milano",€4355 / m^2,4355,45.5009102,9.1330361
€ 279.000,53 m²,"Bilocale via Stamira d'Ancona 9, Turro, Milano",€5264 / m^2,5264,45.5005519,9.2284598
€ 400.000,65 m²,"Bilocale via Federico Confalonieri 11, Isola, Milano",€6154 / m^2,6154,45.486526,9.1897551
€ 1.237.000,133 m²,"Trilocale via Trezzo d'Adda 14, Solari, Milano",€9301 / m^2,9301,45.4560046,9.1566799
€ 896.000,159 m²,"Quadrilocale via Vivarini 5, Pezzotti - Meda, Milano",€5635 / m^2,5635,45.4386357,9.1799702
€ 1.030.000,109 m²,"Trilocale via Sardegna 59, Washington, Milano",€9450 / m^2,9450,45.4627902,9.1514551
€ 720.000,160 m²,"Appartamento viale Federico Caprilli 13A, San Siro, Milano",€4500 / m^2,4500,45.4783745,9.1389057
€ 204.000,53 m²,"Bilocale via Muzio Attendolo detto Sforza 13, Vigentino - Fatima, Milano",€3849 / m^2,3849,45.4254914,9.2001535
€ 1.240.000,85 m²,"Trilocale via Ponte Vetero, Brera, Milano",€14588 / m^2,14588,45.474718,9.1847628
€ 1.148.000,133 m²,"Trilocale via Trezzo d'Adda 14, Solari, Milano",€8632 / m^2,8632,45.4560046,9.1566799
€ 627.000,135 m²,"Quadrilocale piazza Tirana 24, Giambellino, Milano",€4644 / m^2,4644,45.4429615,9.128383
€ 910.000,145 m²,"Quadrilocale via Odoardo Tabacchi 54, Corso San Gottardo, Milano",€6276 / m^2,6276,45.4477982,9.1793316
€ 2.250.000,171 m²,"Quadrilocale via Giovanni Battista Pirelli 35, Melchiorre Gioia, Milano",€13158 / m^2,13158,45.4851982,9.1964043
€ 2.500.000,243 m²,"Appartamento via Uberto Visconti di Modrone 32, Palestro, Milano",€10288 / m^2,10288,45.4649312,9.1998899
€ 588.000,71 m²,"Attico via Casale 2, Navigli - Darsena, Milano",€8282 / m^2,8282,45.4519861,9.1699518
€ 520.000,81 m²,"Trilocale via Messina 23, Paolo Sarpi, Milano",€6420 / m^2,6420,45.481315,9.1763589
€ 699.000,142 m²,"Quadrilocale via Eugenio Torelli Viollier 32, Maggiolina, Milano",€4923 / m^2,4923,45.5011838,9.2023167
€ 600.000,90 m²,"Bilocale via Emilio Morosini 32, Montenero, Milano",€6667 / m^2,6667,45.457728,9.2099229
€ 460.000,85 m²,"Bilocale via Savona, Solari, Milano",€5412 / m^2,5412,45.4562628,9.1616079
€ 750.000,34 m²,"Monolocale Galleria Pattari 2, Duomo, Milano",€22059 / m^2,22059,45.4642829,9.1928598
€ 405.000,100 m²,"Trilocale via Alberto Nota 41, Bicocca, Milano",€4050 / m^2,4050,45.5163155,9.2124488
€ 735.000,127 m²,"Quadrilocale piazza Vesuvio 23, Dezza, Milano",€5787 / m^2,5787,45.4599521,9.1611252
€ 750.000,130 m²,"Quadrilocale via Giulio Cesare Procaccini, Sempione, Milano",€5769 / m^2,5769,45.482652,9.1694087
€ 1.050.000,183 m²,"Appartamento viale Argonne 10, Argonne - Corsica, Milano",€5738 / m^2,5738,45.4642548,9.206529
€ 1.050.000,120 m²,"Trilocale corso Concordia 16, Piave - Tricolore, Milano",€8750 / m^2,8750,45.4677176,9.2099026
€ 750.000,102 m²,"Trilocale via Giovanni Battista Nazari 8, Plebisciti - Susa, Milano",€7353 / m^2,7353,45.4661801,9.2226308
€ 675.000,101 m²,"Trilocale via Bernardino Verro 33/6, Ripamonti, Milano",€6683 / m^2,6683,45.439818,9.1904531
€ 950.000,138 m²,"Trilocale via Magolfa 32, Navigli - Darsena, Milano",€6884 / m^2,6884,45.4514288,9.1496633
€ 1.400.000,210 m²,"Appartamento via Tortona 66, Solari, Milano",€6667 / m^2,6667,45.4535052,9.1618571
€ 417.000,97 m²,"Trilocale piazza Tirana 24, Giambellino, Milano",€4299 / m^2,4299,45.447333,9.1384632
€ 1.220.000,110 m²,"Trilocale via Andrea Mantegna, Sempione, Milano",€11091 / m^2,11091,45.4843354,9.1694759
€ 4.400.000,350 m²,"Appartamento via Cesare Mangili 2, Porta Nuova, Milano",€12571 / m^2,12571,45.4766583,9.1942132
€ 730.000,129 m²,"Appartamento via Luigi Razza 3, Repubblica, Milano",€5659 / m^2,5659,45.4805566,9.2004175
€ 1.830.000,180 m²,"Appartamento via Carlo Goldoni 1, Piave - Tricolore, Milano",€10167 / m^2,10167,45.469342,9.2075909
€ 500.000,130 m²,"Quadrilocale via Fernando Santi 5, Tre Castelli - Faenza, Milano",€3846 / m^2,3846,44.8556436,10.5190739
€ 698.000,120 m²,"Trilocale via Marco Antonio Bragadino 2, Solari, Milano",€5817 / m^2,5817,45.4589146,9.1677334
€ 340.000,51 m²,"Bilocale viale Beatrice d'Este 41, Quadronno - Crocetta, Milano",€6667 / m^2,6667,45.4522284,9.1954028
€ 290.900,70 m²,"Bilocale via Barona 31, Cantalupa - San Paolo, Milano",€4156 / m^2,4156,45.4339538,9.1560222
€ 409.000,63 m²,"Bilocale via Presolana 5, Montenero, Milano",€6492 / m^2,6492,45.456431,9.2064766
€ 638.000,100 m²,"Trilocale corso San Gottardo 12, Ascanio Sforza, Milano",€6380 / m^2,6380,45.4506478,9.1786592
€ 390.000,58 m²,"Bilocale via Cesare da Sesto 19, Corso Genova, Milano",€6724 / m^2,6724,45.456825,9.1752428
€ 229.000,85 m²,"Trilocale via Valdagno 5, San Carlo, Milano",€2694 / m^2,2694,45.4623619,9.1111143
€ 580.000,120 m²,"Attico via Passo di Fargorida 6, San Siro, Milano",€4833 / m^2,4833,45.4720071,9.1230405
€ 4.423.000,364 m²,"Attico via Brisa 16, Carrobbio, Milano",€12151 / m^2,12151,45.4628284,9.1808442
€ 2.769.000,216 m²,"Quadrilocale corso Magenta 54, Vincenzo Monti, Milano",€12819 / m^2,12819,45.4691118,9.1711052
€ 1.095.000,102 m²,"Trilocale via Alberto da Giussano 21, Pagano, Milano",€10735 / m^2,10735,45.4694646,9.1622485
€ 1.445.000,192 m²,"Appartamento via Costanza 15, Washington, Milano",€7526 / m^2,7526,45.4596097,9.1535922
€ 2.500.000,257 m²,"Appartamento via Meravigli 4, Duomo, Milano",€9728 / m^2,9728,45.4659451,9.1830621
€ 429.000,60 m²,"Bilocale via Luigi Canonica 40, Arena, Milano",€7150 / m^2,7150,45.4784092,9.1754267
€ 236.000,80 m²,"Trilocale viale Mario Rapisardi 15, Bruzzano, Milano",€2950 / m^2,2950,45.5257644,9.1741828
€ 215.000,52 m²,"Bilocale via Broni 19, Vigentino - Fatima, Milano",€4135 / m^2,4135,45.4345302,9.2048423
